Date,Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5
2023-10-03,0.0799,0.0313,0.0313,0.0688,0.0698
2023-10-04,0.1117,0.0346,0.0346,0.0435,0.0596
2023-10-05,0.1107,0.033,0.033,0.0493,0.0551
2023-10-06,0.1168,0.0353,0.0353,0.0799,0.0799
2023-10-09,0.1333,0.046,0.046,0.0846,0.0846
2023-10-10,0.1151,0.0451,0.0451,0.0857,0.0857
2023-10-11,0.1119,0.0724,0.0724,0.0636,0.0681
2023-10-12,0.1173,0.0413,0.0413,0.0551,0.0551
2023-10-13,0.1011,0.0564,0.0564,0.0535,0.0751
2023-10-16,0.0863,0.0373,0.0373,0.0725,0.0619
2023-10-17,0.1053,0.0569,0.0569,0.073,0.087
2023-10-18,0.0825,0.0188,0.0188,0.0575,0.0775
2023-10-19,0.0911,0.0174,0.0174,0.0664,0.0888
2023-10-20,0.0765,0.051,0.051,0.0568,0.0722
2023-10-23,0.0936,0.0745,0.0745,0.1169,0.0969
2023-10-25,0.0992,0.084,0.084,0.109,0.109
2023-10-26,0.1171,0.0875,0.0875,0.1133,0.1133
2023-10-27,0.0662,0.1016,0.1016,0.1228,0.1228
2023-10-30,0.0648,0.0875,0.0875,0.1046,0.1155
2023-10-31,0.0979,0.1211,0.1211,0.0919,0.1153
2023-11-01,0.1021,0.0921,0.0921,0.1408,0.1408
2023-11-02,0.1002,0.0927,0.0927,0.1376,0.1178
2023-11-03,0.0996,0.0664,0.0664,0.1107,0.1107
2023-11-06,0.0772,0.097,0.097,0.0783,0.1202
2023-11-07,0.0759,0.058,0.058,0.1138,0.091
2023-11-08,0.0829,0.0292,0.0292,0.1289,0.1289
2023-11-09,0.0839,0.0461,0.0461,0.0657,0.0842
2023-11-10,0.0661,0.0258,0.0258,0.0679,0.0679
2023-11-13,0.0499,0.0558,0.0558,0.0694,0.0694
2023-11-15,0.0637,0.0346,0.0346,0.0551,0.0808
2023-11-16,0.0517,0.0852,0.0852,0.0609,0.0882
2023-11-17,0.0477,0.0414,0.0414,0.0482,0.0743
2023-11-20,0.0388,0.105,0.105,0.053,0.077
2023-11-21,0.0343,0.0956,0.0956,0.0403,0.0573
2023-11-22,0.0451,0.1017,0.1017,0.0725,0.0725
2023-11-23,0.0463,0.0745,0.0745,0.0619,0.0619
2023-11-24,0.0591,0.0673,0.0673,0.0664,0.0672
2023-11-28,0.0497,0.0127,0.0127,0.019,0.0213
2023-11-29,0.0588,0.0118,0.0118,0.0394,0.0591
2023-11-30,0.046,0.0481,0.0481,0.0389,0.0506
2023-12-01,0.0444,0.0516,0.0516,0.0464,0.0464
2023-12-04,0.0379,0.057,0.057,0.0074,0.0236
2023-12-05,0.041,0.0613,0.0613,0.0499,0.0499
2023-12-06,0.0424,0.0268,0.0268,0.0454,0.0454
2023-12-07,0.0559,0.0409,0.0409,0.0637,0.0564
2023-12-08,0.0337,0.0326,0.0326,0.0578,0.0578
2023-12-11,0.0458,0.0129,0.0129,0.0427,0.0572
2023-12-12,0.0499,0.0283,0.0283,0.0299,0.0615
2023-12-13,-0.005,0.0153,0.0153,0.0174,0.0174
2023-12-14,0.0022,0.0603,0.0603,0.0147,0.0355
2023-12-15,0.0266,0.0269,0.0269,0.0095,0.0288
2023-12-18,0.0103,0.025,0.025,0.0127,0.0322
2023-12-19,0.0023,0.0369,0.0369,0.0121,0.0325
2023-12-20,0.0229,0.0148,0.0148,0.0061,0.0375
2023-12-21,0.0272,0.0137,0.0137,0.0257,0.0389
2023-12-22,0.0243,0.0148,0.0148,0.0388,0.038
2023-12-26,-0.0139,0.0306,0.0306,0.0119,0.0426
2023-12-27,0.0209,0.0111,0.0111,0.0421,0.0421
2023-12-28,0.0465,0.0361,0.0361,0.0436,0.0436
